(1, 1, 1, 1, 1, 1, 1, 1)    [[1, 46, 56], [16, 57, 63], [37, 49, 54], [5, 37, 49], [35, 40, 47]]
(1, 0, 1, 2, 1, 1, 1, 1)    [[4, 29, 32], [31, 34, 43], [52, 54, 62], [40, 59, 68], [28, 29, 77], [28, 54, 71]]
(0, 1, 1, 1, 1, 1, 1, 2)    [[9, 72, 76], [6, 36, 43], [5, 9, 29]]
(1, 1, 1, 0, 1, 1, 1, 2)    [[9, 37, 46], [5, 27, 60], [5, 8, 69], [18, 23, 52], [9, 37, 76]]
(1, 2, 1, 1, 1, 1, 0, 1)    [[9, 19, 59], [32, 49, 78], [19, 62, 76], [43, 55, 63], [11, 15, 37], [32, 49, 59], [22, 34, 55], [20, 34, 55]]
(0, 2, 1, 1, 1, 1, 1, 1)    [[14, 22, 27], [54, 71, 78]]
(1, 1, 0, 1, 1, 1, 1, 2)    [[6, 43, 59], [14, 64, 66], [47, 69, 76], [18, 43, 57], [5, 19, 37], [6, 29, 71]]
(1, 1, 1, 0, 2, 1, 1, 1)    [[6, 20, 54], [23, 62, 76], [14, 19, 64], [54, 62, 70], [5, 19, 60], [22, 48, 71], [21, 22, 58]]
(1, 1, 2, 1, 1, 0, 1, 1)    [[29, 42, 78], [30, 72, 77], [46, 55, 69], [42, 66, 77], [4, 47, 49], [29, 66, 77]]
(2, 1, 1, 1, 0, 1, 1, 1)    [[2, 29, 37], [5, 15, 52], [5, 52, 58]]
(1, 0, 1, 1, 1, 2, 1, 1)    [[15, 47, 69], [28, 47, 69], [14, 21, 58], [6, 14, 15], [15, 19, 62]]
(2, 1, 1, 0, 1, 1, 1, 1)    [[6, 18, 78], [23, 52, 54], [35, 43, 78], [23, 28, 52], [54, 58, 59], [35, 40, 49], [23, 28, 54], [2, 4, 8]]
(2, 1, 0, 1, 1, 1, 1, 1)    [[28, 35, 54], [1, 56, 60], [6, 47, 76], [5, 49, 52], [37, 54, 55], [20, 35, 40], [6, 18, 57], [14, 35, 43], [8, 11, 63], [49, 54, 78], [4, 22, 65], [35, 49, 70]]
(1, 1, 2, 0, 1, 1, 1, 1)    [[15, 52, 54], [19, 43, 78], [11, 16, 58], [30, 55, 77], [30, 52, 54]]
(1, 1, 1, 2, 1, 0, 1, 1)    [[14, 43, 58], [4, 40, 70]]
(1, 1, 1, 1, 0, 2, 1, 1)    [[15, 19, 37], [6, 59, 68], [1, 43, 76], [5, 37, 40], [35, 54, 70], [1, 44, 60], [48, 54, 71], [16, 43, 55], [5, 33, 58]]
(2, 1, 1, 1, 1, 0, 1, 1)    [[14, 28, 54], [22, 33, 56], [8, 28, 54], [5, 40, 49], [60, 68, 71], [31, 37, 43], [14, 32, 58], [8, 32, 43]]
(1, 1, 1, 1, 1, 2, 0, 1)    [[43, 57, 63], [33, 46, 56], [6, 43, 66], [19, 68, 76]]
(2, 1, 1, 1, 1, 1, 0, 1)    [[15, 19, 76], [8, 46, 66], [23, 54, 60], [15, 19, 56], [23, 31, 37], [8, 54, 60], [19, 20, 56]]
(1, 1, 2, 1, 1, 1, 1, 0)    [[20, 55, 69], [5, 15, 31], [6, 66, 77]]
(1, 1, 1, 1, 0, 1, 1, 2)    [[9, 42, 62], [37, 54, 70], [27, 72, 75], [36, 66, 72], [54, 57, 59], [12, 18, 23]]
(1, 1, 1, 1, 0, 1, 2, 1)    [[7, 15, 64], [14, 43, 55], [9, 54, 62], [2, 43, 55]]
(1, 1, 2, 1, 0, 1, 1, 1)    [[40, 49, 54]]
(1, 0, 2, 1, 1, 1, 1, 1)    [[9, 47, 76], [22, 28, 71], [5, 52, 70], [5, 40, 60]]
(1, 1, 0, 1, 1, 2, 1, 1)    [[30, 35, 76], [19, 37, 40], [6, 72, 76], [40, 46, 49], [6, 64, 66], [34, 43, 55]]
(1, 0, 1, 1, 1, 1, 2, 1)    [[9, 40, 46], [8, 23, 62], [9, 21, 76], [20, 40, 46], [14, 60, 64], [5, 58, 70], [22, 52, 64]]
(1, 2, 1, 1, 0, 1, 1, 1)    [[29, 37, 66], [2, 8, 11], [40, 47, 78], [40, 67, 78], [40, 54, 78], [14, 24, 32], [21, 49, 54], [40, 54, 59], [36, 66, 69]]
(1, 1, 1, 0, 1, 2, 1, 1)    [[6, 19, 71], [15, 54, 59], [14, 15, 21]]
(0, 1, 1, 1, 1, 1, 2, 1)    [[2, 18, 52], [2, 18, 23], [54, 58, 70]]
(1, 1, 1, 1, 2, 0, 1, 1)    [[23, 24, 62], [2, 8, 23], [19, 33, 70], [5, 33, 66]]
(2, 0, 1, 1, 1, 1, 1, 1)    [[4, 29, 60], [7, 15, 21], [52, 54, 58], [28, 40, 47], [14, 43, 66], [2, 6, 15], [48, 66, 69]]
(1, 1, 1, 1, 1, 0, 1, 2)    [[18, 40, 47], [9, 42, 76], [12, 18, 65], [5, 37, 66]]
(1, 0, 1, 1, 2, 1, 1, 1)    [[22, 24, 71], [54, 58, 71], [19, 33, 37]]
(1, 1, 1, 2, 0, 1, 1, 1)    [[8, 63, 72], [2, 11, 43], [8, 66, 72]]
(1, 2, 1, 1, 1, 0, 1, 1)    [[19, 33, 66]]
(1, 2, 1, 1, 1, 1, 1, 0)    [[19, 33, 76]]
(1, 1, 2, 1, 1, 1, 0, 1)    [[30, 55, 69], [27, 54, 60], [14, 21, 35], [27, 55, 77], [32, 52, 54]]
(1, 1, 0, 2, 1, 1, 1, 1)    [[2, 18, 43], [37, 46, 61], [4, 60, 65]]
(1, 1, 1, 1, 2, 1, 0, 1)    [[27, 52, 54]]
(1, 2, 0, 1, 1, 1, 1, 1)    [[20, 37, 54], [23, 35, 40], [5, 8, 52], [14, 68, 78], [14, 19, 43]]
(1, 1, 1, 1, 1, 0, 2, 1)    [[54, 60, 71], [47, 49, 70]]
(0, 1, 2, 1, 1, 1, 1, 1)    [[11, 14, 58]]
(1, 1, 1, 1, 1, 1, 2, 0)    [[32, 64, 75], [4, 40, 60]]
(1, 1, 1, 0, 1, 1, 2, 1)    [[19, 43, 49]]
(2, 1, 1, 1, 1, 1, 1, 0)    [[2, 32, 43], [2, 32, 58], [36, 69, 77], [2, 11, 37]]
(0, 1, 1, 2, 1, 1, 1, 1)    [[49, 54, 71]]
(1, 1, 1, 2, 1, 1, 0, 1)    [[43, 49, 54], [38, 54, 59]]
(1, 1, 1, 1, 1, 1, 0, 2)    [[9, 19, 43], [20, 66, 69], [5, 19, 33], [32, 49, 75]]
(1, 1, 0, 1, 2, 1, 1, 1)    [[16, 52, 63]]
(2, 1, 0, 2, 1, 0, 1, 1)    [[10, 54, 55], [28, 36, 54], [14, 40, 70], [20, 40, 54], [14, 40, 60]]
(2, 1, 2, 1, 0, 0, 1, 1)    [[14, 65, 66], [27, 48, 75], [24, 66, 77]]
(2, 1, 0, 1, 0, 1, 1, 2)    [[12, 18, 20], [18, 63, 70], [7, 21, 77], [14, 34, 43], [6, 18, 68]]
(1, 0, 1, 1, 2, 0, 1, 2)    [[15, 47, 60]]
